/my/lucylog
0.02,/my/lucylog,LUCILLE_RENEE_KRAVERLICH
0.02,/my/lucylog,CALEB_IS_NOT_A_HUMAN_BEING_BUT_REALLY_NOT_KIDDING_RRR
0.04,/my/lucylog,LUCILLE_RENEE_KRAVERLICH
0.04,/my/lucylog,CALEB_IS_NOT_A_HUMAN_BEING_BUT_REALLY_NOT_KIDDING_RRR
0.06,/my/lucylog,LUCILLE_RENEE_KRAVERLICH
0.06,/my/lucylog,CALEB_IS_NOT_A_HUMAN_BEING_BUT_REALLY_NOT_KIDDING_RRR
0.08,/my/lucylog,LUCILLE_RENEE_KRAVERLICH
0.08,/my/lucylog,CALEB_IS_NOT_A_HUMAN_BEING_BUT_REALLY_NOT_KIDDING_RRR
0.10,/my/lucylog,LUCILLE_RENEE_KRAVERLICH
0.10,/my/lucylog,CALEB_IS_NOT_A_HUMAN_BEING_BUT_REALLY_NOT_KIDDING_RRR
0.12,/my/lucylog,LUCILLE_RENEE_KRAVERLICH
0.12,/my/lucylog,CALEB_IS_NOT_A_HUMAN_BEING_BUT_REALLY_NOT_KIDDING_RRR
0.14,/my/lucylog,LUCILLE_RENEE_KRAVERLICH
0.14,/my/lucylog,CALEB_IS_NOT_A_HUMAN_BEING_BUT_REALLY_NOT_KIDDING_RRR
0.16,/my/lucylog,LUCILLE_RENEE_KRAVERLICH
0.16,/my/lucylog,CALEB_IS_NOT_A_HUMAN_BEING_BUT_REALLY_NOT_KIDDING_RRR
0.18,/my/lucylog,LUCILLE_RENEE_KRAVERLICH
0.18,/my/lucylog,CALEB_IS_NOT_A_HUMAN_BEING_BUT_REALLY_NOT_KIDDING_RRR
0.20,/my/lucylog,LUCILLE_RENEE_KRAVERLICH
0.20,/my/lucylog,CALEB_IS_NOT_A_HUMAN_BEING_BUT_REALLY_NOT_KIDDING_RRR
